Year,Victim_Category,Age_Group,Sex,Type_of_Abuse,Community_Incidence_Rate,Reporting_Source,Household_Size,Prior_Social_Service_Contact,Financial_Stress_Index,Is_Physical,Is_Neglect,Severity_Score,High_Risk_Flag,Immediate_Intervention_Needed,Intergenerational_Risk_Flag,Gender_Power_Imbalance_Flag,Recidivism_Risk_Score,Ecological_Risk_Index
2021,Spouse,30-39 years,Female,Emotional & Psychological Abuse,1.95,Police,5,0,1,0,0,2.7,0,0,0,0,0.4,0.643
2023,Spouse,50-64 years,Female,Physical Abuse,1.05,Hotline,5,0,1,1,0,4.1,0,1,0,1,0.4,0.628
2021,Spouse,40-49 years,Female,Emotional & Psychological Abuse,1.95,Police,2,1,1,0,0,2.9,0,0,0,1,0.6,0.592
2024,Spouse,40-49 years,Female,Physical Abuse,1.35,Hotline,5,1,0,1,0,3.9,0,0,0,1,0.6,0.602
2021,Spouse,18-29 years,Female,Physical Abuse,1.95,Hospital,2,0,1,1,0,4.2,0,0,0,0,0.2,0.552
2023,Spouse,18-29 years,Male,Emotional & Psychological Abuse,1.05,Police,5,1,1,0,0,2.7,0,0,0,0,0.8,0.668
2021,Non-Elderly VA,50-64 years,Female,Physical Abuse,1.3,Social Service,4,0,1,1,0,3.3,1,1,0,1,0.2,0.598
2021,Spouse,18-29 years,Female,Physical Abuse,1.95,Hotline,5,1,1,1,0,4.0,0,1,0,1,0.8,0.802
2024,Spouse,50-64 years,Female,Emotional & Psychological Abuse,1.35,Hospital,6,0,0,0,0,2.8,0,0,0,1,0.2,0.492
2024,Spouse,40-49 years,Female,Emotional & Psychological Abuse,1.35,Police,3,0,1,0,0,2.9,0,0,0,1,0.2,0.492
2023,Spouse,40-49 years,Female,Emotional & Psychological Abuse,1.05,Hospital,2,1,0,0,0,2.6,0,0,0,0,0.4,0.368
2023,Spouse,18-29 years,Female,Physical Abuse,1.05,Police,4,0,0,1,0,4.5,1,1,0,1,0.0,0.428
2021,Spouse,50-64 years,Male,Emotional & Psychological Abuse,1.95,Hospital,3,0,1,0,0,2.9,0,0,0,0,0.2,0.542
2023,Spouse,50-64 years,Male,Physical Abuse,1.05,Police,2,0,0,1,0,4.2,0,0,0,0,0.0,0.328
2024,Spouse,30-39 years,Female,Physical Abuse,1.35,Police,3,0,0,1,0,4.2,0,0,0,0,0.0,0.402
2022,Spouse,18-29 years,Female,Physical Abuse,1.65,Social Service,6,1,1,1,0,3.4,0,0,0,0,0.8,0.828
2023,Spouse,18-29 years,Female,Emotional & Psychological Abuse,1.05,Police,3,0,0,0,0,2.7,0,0,0,0,0.0,0.318
2023,Spouse,30-39 years,Female,Physical Abuse,1.05,Police,6,0,0,1,0,4.3,0,0,0,1,0.2,0.528
2021,Spouse,30-39 years,Female,Physical Abuse,1.95,Police,4,0,1,1,0,4.3,0,0,0,0,0.2,0.652
2023,Spouse,30-39 years,Female,Physical Abuse,1.05,Police,2,0,0,1,0,4.2,0,0,0,0,0.0,0.328
2023,Spouse,30-39 years,Female,Physical Abuse,1.05,Social Service,5,0,0,1,0,3.5,0,0,0,1,0.2,0.478
2023,Spouse,40-49 years,Female,Physical Abuse,1.05,Police,2,0,0,1,0,4.2,0,0,0,0,0.0,0.328
2024,Spouse,18-29 years,Female,Physical Abuse,1.35,Hospital,2,0,0,1,0,4.2,0,0,0,0,0.0,0.352
2024,Spouse,30-39 years,Male,Emotional & Psychological Abuse,1.35,Social Service,5,0,1,0,0,1.9,0,0,0,0,0.4,0.592
2022,Spouse,30-39 years,Female,Emotional & Psychological Abuse,1.65,Hotline,3,0,1,0,0,2.4,0,0,0,0,0.2,0.518
2024,Spouse,30-39 years,Female,Emotional & Psychological Abuse,1.35,Social Service,2,1,1,0,0,2.1,0,0,0,1,0.6,0.542
2023,Spouse,40-49 years,Female,Physical Abuse,1.05,Hotline,2,1,0,1,0,3.8,0,0,0,0,0.4,0.428
2022,Spouse,18-29 years,Female,Physical Abuse,1.65,Police,3,1,1,1,0,4.3,0,0,0,1,0.6,0.678
2022,Spouse,30-39 years,Female,Physical Abuse,1.65,Police,5,1,1,1,0,4.3,0,0,0,1,0.8,0.778
2024,Spouse,40-49 years,Male,Physical Abuse,1.35,Police,3,0,1,1,0,4.1,0,0,0,0,0.2,0.552
2021,Spouse,18-29 years,Male,Physical Abuse,1.95,Police,4,1,1,1,0,4.3,0,0,0,0,0.6,0.752
2022,Spouse,40-49 years,Female,Physical Abuse,1.65,Hotline,2,0,1,1,0,3.8,0,0,0,0,0.2,0.528
2021,Spouse,18-29 years,Female,Physical Abuse,1.95,Police,2,1,1,1,0,4.1,0,0,0,0,0.6,0.652
2023,Spouse,18-29 years,Female,Emotional & Psychological Abuse,1.05,Police,2,0,0,0,0,3.0,0,0,0,1,0.0,0.268
2022,Spouse,50-64 years,Female,Physical Abuse,1.65,Police,6,0,1,1,0,4.5,0,0,0,1,0.4,0.728
2022,Spouse,50-64 years,Female,Emotional & Psychological Abuse,1.65,Police,3,0,1,0,0,2.9,0,0,0,1,0.2,0.518
2024,Spouse,50-64 years,Male,Physical Abuse,1.35,Hotline,3,1,0,1,0,3.8,0,0,0,0,0.4,0.502
2023,Spouse,30-39 years,Female,Emotional & Psychological Abuse,1.05,Hotline,3,1,0,0,0,2.2,0,0,0,0,0.4,0.418
2023,Spouse,18-29 years,Female,Physical Abuse,1.05,Hotline,6,1,0,1,0,4.0,0,0,0,1,0.6,0.628
2023,Spouse,40-49 years,Female,Physical Abuse,1.05,Police,4,0,1,1,0,4.3,0,0,0,0,0.2,0.578
2022,Spouse,30-39 years,Female,Emotional & Psychological Abuse,1.65,Police,2,0,1,0,0,2.6,0,0,0,0,0.2,0.468
2023,Spouse,18-29 years,Male,Physical Abuse,1.05,Hotline,4,0,0,1,0,3.9,0,0,0,0,0.0,0.428
2022,Non-Elderly VA,50-64 years,Female,Physical Abuse,1.1,Community,3,1,0,1,0,3.3,1,0,0,1,0.4,0.482
2021,Elderly VA,65+ years,Female,Physical Abuse,1.1,Hospital,2,1,0,1,0,5.0,1,1,0,1,0.4,0.432
2023,Spouse,30-39 years,Female,Emotional & Psychological Abuse,1.05,Police,2,0,0,0,0,2.7,0,0,0,0,0.0,0.268
2021,Non-Elderly VA,50-64 years,Male,Emotional & Psychological Abuse,1.3,Hospital,5,0,0,0,0,2.9,1,0,0,0,0.2,0.438
2021,Spouse,18-29 years,Female,Emotional & Psychological Abuse,1.95,Police,4,0,1,0,0,2.7,0,0,0,0,0.2,0.592
2023,Spouse,50-64 years,Female,Physical Abuse,1.05,Police,3,0,0,1,0,4.3,0,0,0,1,0.0,0.378
2022,Spouse,30-39 years,Female,Physical Abuse,1.65,Hotline,4,0,1,1,0,3.9,0,0,0,1,0.2,0.628
2023,Spouse,40-49 years,Female,Physical Abuse,1.05,Hotline,5,1,0,1,0,3.8,0,0,0,0,0.6,0.578
2021,Spouse,30-39 years,Female,Physical Abuse,1.95,Hotline,5,0,1,1,0,4.1,0,0,0,1,0.4,0.702
2021,Spouse,30-39 years,Female,Physical Abuse,1.95,Police,3,0,1,1,0,4.4,0,0,0,1,0.2,0.602
2024,Spouse,30-39 years,Female,Physical Abuse,1.35,Hospital,5,1,0,1,0,4.5,0,0,0,1,0.6,0.602
2021,Spouse,18-29 years,Female,Emotional & Psychological Abuse,1.95,Police,4,0,1,0,0,3.0,0,0,0,1,0.2,0.592
2024,Non-Elderly VA,30-39 years,Female,Sexual Abuse,0.9,Community,4,0,0,0,0,4.0,1,0,0,0,0.0,0.475
2024,Spouse,50-64 years,Female,Physical Abuse,1.35,Police,5,0,0,1,0,4.5,0,0,0,1,0.2,0.503
2024,Spouse,40-49 years,Female,Physical Abuse,1.35,Social Service,2,0,0,1,0,3.3,0,0,0,0,0.0,0.352
2024,Spouse,50-64 years,Male,Physical Abuse,1.35,Social Service,6,0,0,1,0,3.4,0,0,0,0,0.2,0.552
2022,Spouse,50-64 years,Male,Physical Abuse,1.65,Police,5,1,1,1,0,4.1,0,0,0,0,0.8,0.778
2021,Spouse,40-49 years,Male,Emotional & Psychological Abuse,1.95,Police,4,0,1,0,0,2.7,0,0,0,0,0.2,0.592
2024,Spouse,50-64 years,Female,Physical Abuse,1.35,Police,6,0,0,1,0,4.3,0,0,0,0,0.2,0.552
2024,Spouse,18-29 years,Female,Physical Abuse,1.35,Police,4,0,0,1,0,4.2,0,0,0,0,0.0,0.452
2024,Spouse,18-29 years,Female,Physical Abuse,1.35,Police,6,1,0,1,0,4.4,0,0,0,1,0.6,0.652
2022,Spouse,18-29 years,Female,Emotional & Psychological Abuse,1.65,Police,6,0,1,0,0,2.7,0,0,0,0,0.4,0.668
